movieId,avg_rating,vote_count,title,genres,category
2701,2.207547169811321,53,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western,Overhyped (Low Qual/High Pop)
1562,2.2142857142857144,42,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller,Overhyped (Low Qual/High Pop)
355,2.357142857142857,42,"Flintstones, The (1994)",Children|Comedy|Fantasy,Overhyped (Low Qual/High Pop)
762,2.4146341463414633,41,Striptease (1996),Comedy|Crime,Overhyped (Low Qual/High Pop)
435,2.4206349206349205,63,Coneheads (1993),Comedy|Sci-Fi,Overhyped (Low Qual/High Pop)
44,2.5434782608695654,46,Mortal Kombat (1995),Action|Adventure|Fantasy,Overhyped (Low Qual/High Pop)
432,2.6454545454545455,55,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,Overhyped (Low Qual/High Pop)
196,2.6666666666666665,45,Species (1995),Horror|Sci-Fi,Overhyped (Low Qual/High Pop)
173,2.6693548387096775,62,Judge Dredd (1995),Action|Crime|Sci-Fi,Overhyped (Low Qual/High Pop)
172,2.6792452830188678,53,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Overhyped (Low Qual/High Pop)
673,2.707547169811321,53,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,Overhyped (Low Qual/High Pop)
3623,2.7142857142857144,77,Mission: Impossible II (2000),Action|Adventure|Thriller,Overhyped (Low Qual/High Pop)
420,2.7203389830508473,59,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,Overhyped (Low Qual/High Pop)
3977,2.7222222222222223,72,Charlie's Angels (2000),Action|Comedy,Overhyped (Low Qual/High Pop)
19,2.7272727272727275,88,Ace Ventura: When Nature Calls (1995),Comedy,Overhyped (Low Qual/High Pop)
788,2.7317073170731705,82,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,Overhyped (Low Qual/High Pop)
4643,2.7448979591836737,49,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi,Overhyped (Low Qual/High Pop)
1544,2.753731343283582,67,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,Overhyped (Low Qual/High Pop)
2054,2.7573529411764706,68,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,Overhyped (Low Qual/High Pop)
2710,2.796875,64,"Blair Witch Project, The (1999)",Drama|Horror|Thriller,Overhyped (Low Qual/High Pop)
784,2.8055555555555554,54,"Cable Guy, The (1996)",Comedy|Thriller,Overhyped (Low Qual/High Pop)
158,2.806451612903226,62,Casper (1995),Adventure|Children,Overhyped (Low Qual/High Pop)
2699,2.811320754716981,53,Arachnophobia (1990),Comedy|Horror,Overhyped (Low Qual/High Pop)
186,2.8229166666666665,48,Nine Months (1995),Comedy|Romance,Overhyped (Low Qual/High Pop)
2724,2.8333333333333335,42,Runaway Bride (1999),Comedy|Romance,Overhyped (Low Qual/High Pop)
5481,2.8461538461538463,65,Austin Powers in Goldmember (2002),Comedy,Overhyped (Low Qual/High Pop)
466,2.8666666666666667,60,Hot Shots! Part Deux (1993),Action|Comedy|War,Overhyped (Low Qual/High Pop)
160,2.8771929824561404,57,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Overhyped (Low Qual/High Pop)
4367,2.9,40,Lara Croft: Tomb Raider (2001),Action|Adventure,Overhyped (Low Qual/High Pop)
208,2.9130434782608696,115,Waterworld (1995),Action|Adventure|Sci-Fi,Overhyped (Low Qual/High Pop)
153,2.9160583941605838,137,Batman Forever (1995),Action|Adventure|Comedy|Crime,Overhyped (Low Qual/High Pop)
